disease,mortality_1y,mortality_5y,source,confidence
COPD,4.0,25.0,COPD 5y mortality ~25% (Korean nationwide cohort PMC7879613); ~3-4% 1y,high
Osteoarthritis,1.0,6.0,OA all-cause mortality modestly elevated (HR ~1.5); chronic low-lethality musculoskeletal disease,medium
Hypertension,1.0,5.0,"Treated/controlled hypertension no significant excess vs normotensive (NHANES III, PMC6010458); chronic low-lethality",high
Anesthesia,0.0,0.0,"Procedural/setting string, not a disease; anesthesia-attributable mortality negligible (~1/100,000)",high
gout,1.0,6.0,"Gout all-cause mortality HR ~1.2-1.6 (meta-analysis ScienceDirect; AHA Circulation); chronic, modest excess",medium
Advanced Breast Cancer,22.0,67.0,Advanced=distant-stage; SEER distant breast cancer 5y relative survival ~32.6% -> 67% (NCI SEER); 1y ~75-80%,high
Cell Lymphoma,3.0,26.0,Ambiguous truncated string; treated as typical non-Hodgkin lymphoma: SEER NHL 5y relative survival ~74% -> 26% (ACS/SEER); 1y ~88%,low
Cell Carcinoma,0.5,2.0,ACS basal/squamous cell skin carcinoma (5y rel survival ~95-100%),medium
"Diabetes Mellitus, Type 2",1.5,7.0,T2D cohorts ~1.4/100 person-years all-cause (Malaysia registry; Diabetes Care),high
Covid19,1.0,1.0,COVID-19 pooled CFR ~1% general population (meta-analysis PMC8451339),high
Schizophrenia,1.0,5.0,"Schizophrenia SMR ~2.5-3, absolute mortality ~1%/yr (Nature Schiz; Front Psychiatry)",medium
Psoriatic Arthritis,0.4,3.0,"PsA SMR ~1.1-1.2, mild CV-related excess (meta-analysis PMC12399637)",medium
Type 1 Diabetes,0.5,3.0,"T1D near-normal lifespan, SMR ~3-7 but low absolute young mortality (Diabetes in America)",medium
anemia of chronic kidney disease,8.0,40.0,Anemia of CKD marks advanced CKD; ~2.5x MACE/mortality (StatPearls; Swedish cohort),medium
Postoperative Pain,0.0,0.0,"Symptom/care setting, not a lethal disease; perioperative 30d mortality low-risk near 0",high
Pulmonary Arterial Hypertension,15.0,43.0,"REVEAL registry: 1y survival 85%, 5y survival 57% (ScienceDirect REVEAL)",high
perennial allergic rhinitis,0.0,0.0,Non-lethal chronic allergic condition,high
Heart Failure,20.0,50.0,"HF ~20-30% 1y, ~45-60% 5y mortality (Framingham; meta-analysis EJHF Jones 2019)",high
Atopic Dermatitis,0.0,0.3,Non-lethal chronic inflammatory skin disease,high
chronic obstructive pulmonary disease,4.0,24.0,COPD 5y mortality ~24% (PLOS One England primary care); 1y low,high
Ulcerative Colitis,0.5,3.0,"UC SMR ~1.0, normal life expectancy (Copenhagen cohort Gastroenterology)",high
NSCLC,50.0,68.0,NSCLC 5y rel survival ~32% (SEER); 1y survival ~50% all stages,high
Acute Coronary Syndrome,7.0,17.0,"ACS registry: NSTEMI 1y ~4-5%/5y ~11-15%, STEMI higher (MDPI 5y follow-up)",high
Cirrhosis,5.0,35.0,"Cirrhosis mixed comp/decomp: comp 1y 1-3%/decomp 1y 20-57%, 5y ~50% if decompensated (PMC3395145)",medium
seasonal allergic rhinitis,0.0,0.0,Non-lethal seasonal allergic condition,high
Pancreatic Cancer,75.0,87.0,Pancreatic cancer 5y rel survival ~13% (SEER/ACS); 1y survival ~25%,high
heart failure,20.0,50.0,"HF ~20-30% 1y, ~45-60% 5y mortality (Framingham; meta-analysis EJHF Jones 2019)",high
insomnia,0.0,0.0,Non-lethal sleep disorder,high
plaque psoriasis,0.3,3.0,"Psoriasis SMR ~1.1, mild CV-related excess (meta-analysis PMC12328333)",medium
atrial fibrillation,4.0,19.0,AF alone GARFIELD-AF ~4.3/100 person-years 1y; 5y ~18-20% (Eur Heart J Suppl),high
Covid19; SARS-CoV Infection; ards; acute kidney injury,40.0,42.0,Most severe = ARDS; ARDS hospital mortality ~35-45% (combined string),medium
chronic idiopathic constipation,0.0,0.0,Non-lethal functional GI condition,high
constipation,0.0,0.0,Non-lethal functional GI symptom,high
hot flashes,0.0,0.0,Non-lethal menopausal vasomotor symptom,high
Clostridium Difficile Infection,13.0,40.0,"CDI all-cause 30d ~13%, 1y ~37% (Clin Infect Dis multicenter cohort)",medium
Duchenne Muscular Dystrophy,1.0,7.0,"DMD progressive, median life expectancy ~22-28y; low annual mortality in youth (IPD meta-analysis PMC8665435)",medium
smoking cessation,0.0,0.0,"Behavioral intervention/state, not a lethal disease",high
psoriasis,0.3,3.0,"Psoriasis SMR ~1.1, mild CV-related excess (meta-analysis PMC12328333)",medium
atopic dermatitis,0.0,0.3,Non-lethal chronic inflammatory skin disease,high
malaria,0.5,0.5,Uncomplicated treated malaria CFR <1% (StatPearls); acute disease,high
Thyroid Cancer,0.5,1.5,Thyroid cancer 5y rel survival ~98.5% (SEER/ACS),high
"Lung Diseases, Interstitial",10.0,55.0,ILD/IPF (severe component): 5y survival ~40% IPF (UK pop study); median 3-5y,medium
stroke,25.0,50.0,Ischemic stroke 1y mortality ~25% (Medicare); 5y ~50-60% (AHA Stroke),high
Chronic Kidney Disease,3.0,15.0,CKD overall (mixed stages); advanced/ESRD much higher (~50% 5y stage 5),medium
Asthma,0.0,0.1,"Asthma death rate ~1/100,000/yr (ALA/CDC); near-zero population mortality",high
Chemotherapy-Induced Nausea and Vomiting,0.0,1.0,"Supportive-care symptom, not a lethal disease; negligible attributable mortality",high
Diabetes Mellitus,2.0,10.0,"T2DM cohorts ~1.4/100 person-yr (Malaysian registry ~7%/5y; UK newly-dx ~20%/5y); typical ~2%/1y, ~10%/5y",medium
Uveitis,1.0,5.0,"Vision-threatening, not life-threatening; modestly elevated mortality from underlying systemic disease (Tandfonline/PubMed 2024)",medium
vitamin D deficiency,0.0,1.0,"Nutritional deficiency, not directly lethal; negligible attributable short-term mortality",high
Major Depression,1.0,5.0,"MDD SMR ~1.6-2.0 (meta-analysis); low absolute annual mortality, ~1%/1y ~5%/5y",medium
irritable bowel syndrome,0.0,1.0,"Swedish nationwide cohort + 29-yr follow-up: no increased mortality, normal life expectancy",high
Amyotrophic Lateral Sclerosis,26.0,80.0,"ALS survival ~74% at 1y, ~10-20% at 5y (registry cohorts); median survival 2-5y",high
"Hypertension, Pulmonary",15.0,45.0,"Pulmonary hypertension/PAH; REVEAL registry 1y survival 85%, 5y 57% (use severe PAH component)",medium
immune thrombocytopenia,5.0,20.0,Danish/population ITP cohorts: 5-y mortality ~20-24% (HR ~1.5 vs general pop),medium
Idiopathic Pulmonary Fibrosis,20.0,55.0,"IPF 1y survival ~79-84%, 5y ~45% (Canadian/Korean cohorts; meta-analysis 5y 45.6%)",high
bipolar I disorder,1.0,6.0,Bipolar SMR ~2.0-2.6; 9-13y reduced life expectancy; low absolute annual mortality,medium
ulcerative colitis,1.0,4.0,UC all-cause SMR ~1.1-1.19 (population meta-analyses); near-general-population mortality,high
overactive bladder,0.0,1.0,Benign non-life-threatening LUTS syndrome; no direct attributable mortality,high
Atrial Fibrillation,10.0,30.0,"AF carries substantial excess mortality (Framingham); ~10%/1y, ~30%/5y typical cohorts",medium
Low back pain,0.0,1.0,Non-lethal musculoskeletal pain condition; negligible attributable mortality,high
Colorectal Cancer,16.0,36.0,"SEER all-stage relative survival: 1y 84%, 5y 64% (ACS Facts & Figures)",high
Chronic Myeloid Leukemia,5.0,30.0,SEER CML 5y relative survival ~70.4%; 1y survival high (~93-95%) in TKI era,high
hypotension,0.0,2.0,"Sign/state, not a disease; severe acute hypotension/shock is dangerous but as a chronic label near-zero",medium
pulmonary arterial hypertension,15.0,43.0,"REVEAL registry: 1y survival 85%, 5y survival 57% (WHO group 1 PAH)",high
Chemotherapy-induced Nausea and Vomiting,0.0,1.0,"Supportive-care symptom, not a lethal disease; negligible attributable mortality",high
acne vulgaris,0.0,0.0,Benign dermatologic condition; no attributable mortality,high
Gastric Cancer,45.0,62.0,SEER stomach cancer 5y relative survival ~37.9%; all-stage 1y survival ~55% (ACS),high
Essential Hypertension,0.0,3.0,Controlled HTN ~= normotensive mortality; uncontrolled HR ~1.4 (NHANES III); small 5y excess,medium
chronic kidney disease,5.0,20.0,"General mixed-stage CKD (not dialysis); HR ~2.7 all-cause; kidney failure 5y survival ~31%, overall CKD lower",medium
Metastatic Colorectal Cancer,53.0,84.0,"SEER distant-stage CRC: 1y survival ~47%, 5y relative survival ~15.6%",high
infection,5.0,10.0,Generic infection spans trivial to severe bacterial/sepsis (sepsis 1y mortality ~12-43%); ambiguous term,low
Cushing syndrome,2.0,10.0,Endogenous Cushing SMR ~3 (active disease ~5.7); modern treated mortality low; historical untreated 50%/5y,medium
sedation,0.0,0.0,"Procedural/anesthesia setting, not a disease; near-zero attributable mortality",high
Coronary Artery Disease,3.0,15.0,"Stable CAD: modern revascularized ~4%/5y, older cohorts ~27%/5y; typical ~3%/1y ~15%/5y",medium
Nonalcoholic Steatohepatitis,3.0,13.0,"NASH/NAFLD all-cause ~28.6/1000 person-yr (Swedish cohort); ~3%/1y, ~13%/5y",medium
in Cancer,20.0,30.0,"Non-specific cancer string; SEER all-sites combined 1y survival ~78%, 5y ~70%",low
Smoking Cessation,0.0,0.0,"Behavioral intervention indication, not a disease; no attributable mortality",high
Sickle Cell Disease,1.0,6.0,"SCD ~11.7 deaths/1000 person-yr; median survival ~54-59y; ~1%/1y, ~6%/5y",medium
"Pain, Postoperative",0.0,1.0,"Postoperative pain symptom, not a lethal disease; negligible attributable mortality",high
Erosive Esophagitis,0.0,1.0,Benign GERD-spectrum condition; negligible attributable mortality,high
"Tuberculosis, Multidrug-Resistant; Infection, Bacterial; Pulmonary Tuberculoses",18.0,35.0,MDR-TB most severe component: ~20% die during treatment (WHO); 5y mortality ~35%,medium
"Intracranial Hemorrhages; Intracranial Hemorrhage, Hypertensive; Subarachnoid Hemorrhage; Subdural Hematoma; Intraventricular Hemorrhage; Atrial Fibrillation; Atrial Flutter; Small Vessel Cerebrovascular Disease; Microhaemorrhage",45.0,60.0,"Most severe component intracerebral hemorrhage: case fatality ~42% 30d, ~50% 1y; SAH 1y ~37%",medium
Cell Cancer,10.0,30.0,Ambiguous 'cell cancer'; used pooled solid-tumor average (SEER all-sites ~33% 5y mortality),low
Delirium,25.0,40.0,"Delirium 1y mortality ~25-35% (elderly inpatient cohorts, e.g. Witlox JAMA 2010)",medium
Endometrial Cancer,5.0,18.0,SEER endometrial/uterine corpus all-stages 5y relative survival ~81-84%,high
Fibromyalgia,0.0,1.0,Fibromyalgia not directly lethal; near-zero excess all-cause mortality,high
Gastric Ulcers; Duodenal Ulcers,1.0,5.0,Peptic ulcer disease low CFR; perforation/bleed mortality drives small figure,medium
Healthy,0.0,0.0,Non-disease string (healthy volunteers); no disease mortality,high
Human Immunodeficiency Virus,2.0,10.0,Treated HIV near-normal life expectancy; small excess mortality on ART,medium
Infertility,0.0,0.0,Infertility not lethal,high
Influenza,0.1,0.5,Seasonal influenza CFR ~0.1% general population (CDC); low cumulative,high
Metastatic Melanoma,40.0,67.0,SEER distant melanoma 5y relative survival ~32-35%; 1y distant survival ~55-60%,high
Neck Cancer,15.0,45.0,Head and neck (SEER) all-stages 5y relative survival ~50-68%; used pooled,medium
Nicotine Dependence,0.0,2.0,Nicotine dependence per se low short-term mortality; long-term excess,medium
Osteoarthrosis,0.0,2.0,Osteoarthritis not directly lethal; small long-term excess mortality,high
Pain Management,0.0,0.0,"Procedural/symptom string, not a disease",high
Polycythemia Vera,3.0,20.0,SEER PV 5y relative survival ~80%; low 1y mortality,high
Sepsis,30.0,50.0,Sepsis ~30-day/1y mortality ~25-35%; 5y ~50% (post-sepsis excess),high
Systemic Lupus Erythematosus,2.0,7.0,SLE 5y survival ~92-95% in modern cohorts,high
Tuberculosis,10.0,15.0,Treated TB CFR ~5-15% (WHO global CFR ~15%),high
With Cancer,10.0,33.0,Nonspecific 'with cancer'; SEER all-sites combined ~33% 5y mortality,low
allergic rhinitis,0.0,0.0,Allergic rhinitis not lethal,high
autism spectrum disorder,0.0,1.0,ASD small excess mortality (epilepsy/accidents); near-zero direct,medium
chronic cough,0.0,1.0,"Chronic cough symptom, not directly lethal",high
contraception,0.0,0.0,Non-disease (contraception indication),high
coronary artery disease,2.0,10.0,Stable CAD annual mortality ~1-3%; 5y ~10% (registry/cohort),high
cytomegalovirus infection,5.0,10.0,CMV in immunocompetent benign; figures reflect at-risk/disease context,low
dry eye syndrome,0.0,0.0,Dry eye not lethal,high
essential hypertension,0.0,2.0,Uncomplicated hypertension low short-term mortality; small long-term excess,high
functional constipation,0.0,0.0,Functional constipation not lethal,high
nicotine dependence,0.0,2.0,Nicotine dependence low short-term mortality; long-term excess,medium
obesity,0.0,2.0,Obesity low 1y mortality; modest 5y excess (chronic risk factor),high
opioid use disorder,5.0,15.0,OUD high overdose/all-cause mortality ~1-2%/yr; cumulative 5y ~15%,medium
postpartum hemorrhage,2.0,2.0,PPH case fatality ~1-3% (higher in low-resource); acute event,medium
skin and soft tissue bacterial infection,1.0,2.0,SSTI/cellulitis low CFR; sepsis drives small figure,medium
uterine fibroids,0.0,0.0,"Uterine fibroids benign, not lethal",high
valvular heart disease,3.0,15.0,Symptomatic VHD annual mortality ~2-5%; 5y ~15-20% untreated,medium
Acute Myocardial Infarction,13.0,25.0,AMI 1y mortality ~10-15%; 5y ~25-30% (cohort/AHA),high
Acute Pain,0.0,0.0,"Acute pain symptom, not lethal",high
Advanced Gastric Cancer,55.0,90.0,Metastatic gastric SEER distant 5y survival ~7%; 1y distant survival ~40-45%,high
Advanced Lung Cancer,70.0,92.0,SEER distant lung 5y relative survival ~8%; 1y distant survival ~25-30%,high
Anaplastic Lymphoma,15.0,40.0,Anaplastic large cell lymphoma 5y survival ~50-70% (ALK+) to lower (ALK-); pooled,low
Asthma; Wheezing,0.0,1.0,Asthma low mortality (~0.1% deaths among patients); cumulative small,high
"Bariatric Surgery Candidate; Perioperative Complication; Nausea; Vomiting, Postoperative; Drug Effect",0.0,1.0,Perioperative/symptom string; low procedural mortality,medium
Benign Prostatic Hyperplasia,0.0,1.0,"BPH benign, not directly lethal",high
Benzodiazepine Refractory Status Epilepticus,20.0,30.0,Refractory status epilepticus in-hospital mortality ~20-40%,medium
Bipolar Disorder,1.0,3.0,Bipolar excess mortality (suicide/medical) ~1-2x; small absolute,medium
Blood Loss,2.0,3.0,"Acute blood loss/hemorrhage; CFR depends on severity, modest acute",low
Bone Mineral Density Quantitative Trait Locus 7,0.0,0.0,"Genetic trait locus, not a lethal disease",high
Brain Cancer; Glioblastoma Multiforme,60.0,94.0,Glioblastoma 1y survival ~40%; 5y survival ~5-7%,high
Chronic Myelogenous Leukemia,3.0,25.0,SEER CML 5y relative survival ~71% (TKI era higher); low 1y,high
Chronic pain,0.0,0.0,"Chronic pain symptom, not directly lethal",high
Coronavirus Infection,1.0,2.0,COVID-19 overall IFR ~0.3-1% (Ioannidis WHO Bull); population figure,medium
Crohn's Disease,0.0,2.0,Crohn's near-normal life expectancy; small excess mortality,high
Crohn's disease,0.0,2.0,Crohn's near-normal life expectancy; small excess mortality,high
Cystic Fibrosis,1.0,5.0,CF annual mortality ~1-2%; median survival now ~50+ yrs (CF registry),medium
Epilepsy,1.0,5.0,Epilepsy excess mortality (SUDEP/status) ~1-2x; small absolute,medium
Epilepsy; Partial Seizures,1.0,5.0,Epilepsy excess mortality ~1-2x; small absolute,medium
Follicular Lymphoma,3.0,10.0,SEER follicular lymphoma 5y relative survival ~90%,high
Gastric Ulcer,1.0,5.0,Peptic ulcer low CFR; bleed/perforation drives small figure,medium
Hyperlipidemia,0.0,1.0,"Hyperlipidemia risk factor, near-zero direct short-term mortality",high
Labor induction,0.0,0.0,"Obstetric procedure, not a disease",high
Liver Cancer,50.0,78.0,SEER liver/HCC all-stages 5y relative survival ~22%; 1y survival ~50%,high
Low Back Pain,0.0,0.0,Low back pain not lethal,high
Metastatic Pancreatic Cancer,78.0,97.0,SEER distant pancreatic 5y survival ~3%; 1y distant survival ~22%,high
Metastatic Prostate Cancer,25.0,65.0,SEER distant prostate 5y relative survival ~37%; 1y distant survival ~75%,high
Migraine,0.0,0.0,Migraine not lethal,high
Myopia,0.0,0.0,Myopia not lethal,high
Non-Hodgkin's Lymphoma,12.0,27.0,SEER NHL all-types 5y relative survival ~73-75%,high
Obesity,0.0,2.0,Obesity low 1y mortality; modest 5y excess,high
"Polycystic Kidney, Autosomal Dominant",1.0,5.0,ADPKD slowly progressive; mortality mainly from ESRD/CV over decades,medium
Polycystic Ovary Syndrome,0.0,0.0,PCOS not directly lethal,high
Primary Peritoneal Cancer,15.0,65.0,Primary peritoneal (~advanced ovarian) 5y survival ~30-40%,medium
Recurrent urinary tract infections,0.0,1.0,Recurrent UTI low mortality; urosepsis drives small figure,high
SARS-CoV-2 Infection,1.0,2.0,COVID-19 overall IFR ~0.3-1%; population figure,medium
Septic Shock,45.0,60.0,"Septic shock in-hospital mortality ~35-40%; 1y ~45-50%, 5y ~60%",high
Solid Tumors,10.0,33.0,Nonspecific solid tumors; SEER all-sites ~33% 5y mortality,low
Sore Throat,0.0,0.0,Sore throat/pharyngitis not lethal,high
Stroke,20.0,50.0,Ischemic stroke 1y mortality ~18-25%; 5y ~50%,high
Type 1 Diabetes Mellitus,0.0,2.0,T1DM low short-term mortality; modest long-term excess (DKA/CV),high
actinic keratosis,0.0,0.0,"Actinic keratosis precancerous, not lethal",high
ankle sprain,0.0,0.0,Ankle sprain not lethal,high
bacterial pneumonia,8.0,25.0,Community-acquired pneumonia 30-day mortality ~5-15%; 1y ~25-30%,high
bipolar disorder,1.0,3.0,Bipolar excess mortality; small absolute,medium
cardiac arrest,90.0,92.0,OHCA survival to discharge ~8-10%; ~90% 30-day mortality,high
cardiomyopathy,5.0,20.0,Dilated/general cardiomyopathy annual mortality ~3-5%; 5y ~20%,medium
cervical ripening,0.0,0.0,"Obstetric procedure, not a disease",high
chronic rhinosinusitis with nasal polyps,0.0,0.0,CRSwNP not lethal,high
complicated urinary tract infection,2.0,4.0,Complicated UTI/urosepsis low-moderate CFR ~1-3%,medium
episodic migraine,0.0,0.0,Migraine not lethal,high
fibromyalgia,0.0,1.0,Fibromyalgia not directly lethal,high
gastric cancer,40.0,70.0,Gastric cancer all-stages SEER 5y relative survival ~33%; 1y ~60%,high
gastroesophageal reflux disease,0.0,0.0,GERD not lethal,high
hypertrophic cardiomyopathy,1.0,5.0,HCM annual mortality ~0.5-1%; 5y ~5%,medium
mania,1.0,3.0,Mania/bipolar excess mortality; small absolute,medium
nasal polyps,0.0,0.0,Nasal polyps not lethal,high
non-24-hour sleep-wake disorder,0.0,0.0,"Circadian disorder, not lethal",high
open-angle glaucoma,0.0,0.0,"Glaucoma causes blindness, not death",high
pneumonia,8.0,25.0,Pneumonia 30-day mortality ~5-15%; 1y ~25-30%,high
postoperative pain,0.0,0.0,"Postoperative pain symptom, not lethal",high
preeclampsia,1.0,1.0,Preeclampsia maternal CFR ~0.5-1% (developed); higher globally; acute,medium
total hip arthroplasty,0.0,1.0,Elective surgical procedure; 90-day mortality <1%,high
type 2 diabetes mellitus,1.0,5.0,T2DM low 1y mortality; modest 5y excess (CV/renal),high
vasospastic angina,1.0,3.0,Vasospastic (Prinzmetal) angina low mortality with treatment,medium
venous thromboembolism,5.0,20.0,VTE 30-day mortality ~5-10%; 1y ~15-20% (often comorbidity-driven),high
visceral Leishmaniasis,10.0,10.0,Visceral leishmaniasis treated CFR ~10% (>95% untreated),high
Acute Coronary Syndromes,12.0,25.0,ACS 1y mortality ~10-13%; 5y ~25%,high
Acute Ischaemic Stroke; Transient Ischaemic Attack,20.0,50.0,Ischemic stroke 1y mortality ~18-25%; 5y ~50% (most severe component),high
Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,15.0,55.0,Adult ALL 5y survival ~40-45%; 1y ~85%,high
Acute Pain; Ambulances,0.0,0.0,"Acute pain/ambulance setting, not a lethal disease",high
Acute Pain; Post Operative Pain; Pain,0.0,0.0,"Pain symptom, not lethal",high
Advanced Colorectal Cancer,30.0,85.0,SEER distant colorectal 5y relative survival ~15%; 1y distant ~70% survival,high
Advanced Gastric Adenocarcinoma,55.0,90.0,Metastatic gastric SEER distant 5y survival ~7%,high
Advanced Melanoma,40.0,67.0,SEER distant melanoma 5y survival ~32-35%; 1y survival ~55-60%,high
Alcohol Use Disorder,3.0,12.0,AUD excess all-cause mortality ~2-4x; cumulative meaningful,medium
Alopecia Areata,0.0,0.0,Alopecia areata not lethal,high
Alzheimer disease,15.0,50.0,"Alzheimer median survival ~5-8 yrs from diagnosis; 1y ~10-15%, 5y ~50%",high
Anal Cancer,10.0,31.0,SEER anal cancer all-stages 5y relative survival ~69%,high
Anal Intraepithelial Neoplasia; High-grade Squamous Intraepithelial Lesion; HIV Infection,2.0,10.0,AIN/HSIL precancerous; HIV component drives small figure,low
"Anesthesia, General",0.0,0.0,"Anesthesia setting, not a disease; perioperative mortality near-zero",high
"Anesthesia, General; Neuromuscular Transmission Disorders",0.0,1.0,"Anesthesia/NMT setting, minimal disease mortality",medium
Anticoagulation in Pregnancy,1.0,1.0,Indication/management context; VTE risk in pregnancy drives small figure,low
Anxiety,0.0,1.0,Anxiety disorder near-zero direct mortality,high
Autism Spectrum Disorder,0.0,1.0,ASD small excess mortality; near-zero direct,medium
Autosomal Dominant Polycystic Kidney Disease (ADPKD),1.0,5.0,ADPKD slowly progressive; mortality from ESRD/CV over decades,medium
Back Pain Lower Back Chronic,0.0,0.0,Low back pain not lethal,high
Bipolar I Disorder,1.0,3.0,Bipolar excess mortality (suicide/medical); small absolute,medium
Bowel Preparation,0.0,0.0,"Procedural prep, not a disease",high
COVID 19,1.0,2.0,COVID-19 overall IFR ~0.3-1%; population figure,medium
COVID; COVID-19; SARS-CoV 2; Coronavirus; Corona Virus Infection,1.0,2.0,COVID-19 overall IFR ~0.3-1%; population figure,medium
Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,40.0,67.0,"Metastatic cancer (BRAF/MAPK, melanoma-type) distant 5y survival ~32-35%",low
Cardiovascular Diseases,3.0,15.0,Broad CVD; mixed CAD/HF annual mortality ~2-5%; 5y ~15%,medium
Cellulitis,1.0,2.0,Cellulitis low CFR; sepsis drives small figure,high
Child Comfort; Morphine; Intensive Care Units; Pediatric,0.0,1.0,"Pediatric ICU comfort/symptom context, not a defined lethal disease",low
Chronic Allergic Conjunctivitis,0.0,0.0,Allergic conjunctivitis not lethal,high
Chronic Hepatitis B,1.0,5.0,Chronic HBV slow progression; cirrhosis/HCC mortality over decades,medium
Chronic Kidney Diseases,5.0,30.0,CKD annual mortality rises with stage; advanced/ESRD 5y mortality high ~30-50%,medium
Chronic Lymphocytic Leukemia; Mantle Cell Lymphoma; Diffuse Large B-cell Lymphoma; Indolent Non-Hodgkin's Lymphoma,15.0,40.0,"Mixed; DLBCL (most aggressive component) 5y survival ~65%, 1y ~85%",medium
Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,3.0,15.0,SEER CLL/SLL 5y relative survival ~85-88%,high
Chronic Peripheral Post-traumatic Neuropathic Pain,0.0,0.5,"Chronic pain condition, not directly lethal; negligible disease-specific mortality (clinical consensus)",medium
