gene,physiological_process,rationale
HMGCR,lipid_metabolism;atherothrombotic_cardiometabolic,"HMG-CoA reductase; statins lower cholesterol synthesis and reduce MACE (4S/CARE/JUPITER) = a validated atherothrombotic event-reduction axis. Not an airway or anti-exacerbation lever."
VDR,vitamin_d_signaling,"Vitamin D receptor; calcium/immune modulation. Not an established airway-exacerbation lever."
PDE3A,cardiac_contractile_function;atherothrombotic_cardiometabolic,"PDE3 inhibition (milrinone) is a positive inotrope/pulmonary vasodilator; in platelets PDE3 inhibition (cilostazol) raises cAMP -> antiplatelet + vasodilation, a validated secondary-stroke/PAD event-reduction axis (CSPS2)."
OPRM1,nociception,"Mu-opioid receptor; agonists directly suppress ascending nociceptive transmission."
OPRK1,nociception,"Kappa-opioid receptor; analgesic via nociceptive modulation."
PTGS2,nociception;inflammation,"COX-2 makes prostaglandins that sensitise nociceptors; NSAID/coxib inhibition is analgesic (esp. inflammatory pain)."
PTGS1,nociception;inflammation,"COX-1; prostaglandin-mediated nociceptor sensitisation."
SCN9A,nociception,"Nav1.7 sensory sodium channel; gain-of-function causes pain, loss-of-function causes congenital insensitivity -> direct nociceptive lever."
SCN10A,nociception,"Nav1.8 sensory sodium channel in nociceptors."
SCN11A,nociception,"Nav1.9 sensory sodium channel in nociceptors."
TRPV1,nociception,"Capsaicin receptor on nociceptors; thermal/inflammatory pain transduction."
P2RX3,nociception;cough_reflex,"P2X3 on sensory afferents; gefapixant target for chronic cough and sensory hypersensitivity."
CALCRL,trigeminovascular_headache,"CGRP receptor (with RAMP1); CGRP pathway drives migraine; antagonists/antibodies are antimigraine."
CALCA,trigeminovascular_headache,"CGRP ligand; trigeminovascular migraine mediator."
HTR3A,emesis_signaling,"5-HT3 receptor; setrons block the emetic reflex (CINV/PONV)."
HTR4,gi_motility,"5-HT4 agonists (prucalopride) are prokinetic -> GI motility."
GUCY2C,intestinal_fluid_secretion,"Guanylate cyclase-C agonists (linaclotide) raise cGMP -> intestinal fluid secretion."
ATP4A,gastric_acid_secretion,"Gastric H+/K+-ATPase; PPI target (duplicate-safe)."
DRD2,dopaminergic_neurotransmission;emesis_signaling,"D2 receptor; antipsychotic (psychosis) AND antiemetic (area postrema) -> process depends on the endpoint."
MYH7,sarcomere_contractility,"Cardiac beta-myosin heavy chain; mavacamten directly reduces sarcomere hypercontractility -> lowers LVOT obstruction in HCM."
MYH6,sarcomere_contractility,"Cardiac alpha-myosin heavy chain; sarcomere contractility."
VKORC1,coagulation;atherothrombotic_cardiometabolic,"Vitamin-K epoxide reductase; warfarin anticoagulation -> dissolves/prevents LV thrombus and reduces cardioembolic stroke/VTE events."
F10,coagulation;atherothrombotic_cardiometabolic,"Factor Xa; apixaban/rivaroxaban anticoagulation -> LV thrombus resolution; reduces cardioembolic stroke/VTE events."
F2,coagulation;atherothrombotic_cardiometabolic,"Thrombin; anticoagulant target; reduces thromboembolic events."
P2RY12,atherothrombotic_cardiometabolic,"ADP receptor on platelets; clopidogrel/ticagrelor antiplatelet -> reduces atherothrombotic events (CAPRIE/PLATO). A validated event-reduction axis (efficacy is indication-dependent: strong in ACS, weaker in acute stroke/PAD)."
ITGA2B,atherothrombotic_cardiometabolic,"Platelet GP IIb subunit; GP IIb/IIIa antagonism (abciximab) inhibits final-common-path platelet aggregation -> atherothrombotic event reduction."
ITGB3,atherothrombotic_cardiometabolic,"Platelet GP IIIa subunit; GP IIb/IIIa antagonism inhibits platelet aggregation -> atherothrombotic event reduction."
PCSK9,atherothrombotic_cardiometabolic,"PCSK9 degrades LDL receptor; mAb inhibition lowers LDL and reduces MACE (FOURIER/ODYSSEY) = validated atherothrombotic event-reduction axis."
NPC1L1,atherothrombotic_cardiometabolic,"Intestinal cholesterol transporter; ezetimibe lowers LDL and reduces MACE on top of statin (IMPROVE-IT)."
APOB,atherothrombotic_cardiometabolic,"Apolipoprotein B; antisense (mipomersen) lowers LDL particle number, an atherogenic-lipid event-reduction axis."
GLP1R,atherothrombotic_cardiometabolic,"GLP-1 receptor agonism (liraglutide/semaglutide) reduces MACE in diabetes/obesity (LEADER/SELECT) = validated cardiometabolic event-reduction axis."
XDH,urate_metabolism,"Xanthine oxidase; allopurinol lowers urate (NOT a renal-hemodynamic lever)."
ADRB3,bladder_smooth_muscle_tone,"Beta-3 adrenoceptor; mirabegron relaxes detrusor -> bladder capacity."
CHRM2,bladder_smooth_muscle_tone,"M2 muscarinic on detrusor; antimuscarinics (oxybutynin) increase bladder capacity."
UGCG,glycosphingolipid_synthesis,"Glucosylceramide synthase; venglustat reduces glycosphingolipids (a CONTRIBUTOR, not the validated rate-limiter of ADPKD cyst growth)."
PTGFR,aqueous_humor_outflow,"Prostaglandin F receptor; latanoprost increases uveoscleral outflow -> lowers IOP."
CA2,aqueous_humor_production,"Carbonic anhydrase II; dorzolamide/brinzolamide reduce aqueous humour production -> lower IOP."
ADRA2A,aqueous_humor_production;vascular_tone,"Alpha-2 agonists (brimonidine) reduce aqueous production -> lower IOP."
