disease,risk_tolerance,severity_basis,confidence
"Amino Acid Metabolism, Inborn Errors",70,inborn metabolic errors can cause severe disability and death,med
Amyotrophic Lateral Sclerosis,95,relentlessly fatal motor neuron disease,high
Anal Cancer,80,active malignancy high mortality,high
Anal Carcinoma,80,active malignancy high mortality,high
Anal Incontinence,15,disabling quality-of-life condition not life-threatening,med
Anal Intraepithelial Neoplasia; High-grade Squamous Intraepithelial Lesion; HIV Infection,60,HIV infection serious chronic life-shortening,med
"Analgesia; Surgery; Cancer of Head and Neck; Oropharyngeal Cancer; Carcinoma of Unknown Primary; Pain, Postoperative; Postoperative Pain",80,head and neck cancer high mortality (most severe component),high
Anaplastic Lymphoma,85,aggressive lymphoma high mortality,high
Anemia,30,variable severity usually manageable,med
Anesthesia,15,procedural setting; risk tolerance from surgical context,med
Anesthesia With Use of LMA (Laryngeal Mask Airway),15,procedural anesthesia setting,med
Anesthesia for Elective Surgery Patients,12,elective surgery anesthesia low underlying severity,med
"Anesthesia, General",15,procedural anesthesia setting,med
"Anesthesia, General; Anesthesia, Intravenous",15,procedural anesthesia setting,med
"Anesthesia, General; Neuromuscular Transmission Disorders",30,anesthesia with neuromuscular disorder added risk,low
"Anesthesia, Intravenous",15,procedural anesthesia setting,med
Anesthesia-induced hypotension,30,intraoperative hypotension can be dangerous but managed,med
Anesthesia; Functional; Anesthesia,15,procedural anesthesia setting,med
"Anesthetic, Sedative or Analgesic Complications in Labor or Delivery",35,obstetric anesthesia complications with maternal/fetal risk,med
Angina,55,ischemic symptom signaling coronary disease,med
Angina; Pulmonary Arterial Hypertension,80,pulmonary arterial hypertension high mortality,high
"Angioedema, Hereditary, Types I and II",55,hereditary angioedema with risk of fatal airway attacks,high
Ankylosing Spondylitis,40,chronic disabling inflammatory arthritis not directly lethal,high
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis; Microscopic Polyangiitis; Wegener Granulomatosis,80,systemic vasculitis with renal/pulmonary failure high mortality untreated,high
Anticoagulation in Pregnancy,45,thromboembolic and bleeding risk in pregnancy,med
Anxiety,20,common disorder rarely life-threatening,high
"Anxiety Neuroses; Anxiety States, Neurotic; Neuroses, Anxiety",20,anxiety disorder rarely life-threatening,high
Anxiety; Preoperative Anxiety,15,situational anxiety not life-threatening,high
Aortic Coarctation; Erector Spinae Plane Block; Paediatric,55,congenital cardiac defect with serious consequences,med
Aortic Valve Disease; Aortic Valve Stenosis; Aortic Valve Failure,70,severe aortic stenosis high mortality if untreated,high
Aortic Valve Stenosis; Cardiovascular Diseases; Heart Valve Diseases; Ventricular Outflow Obstruction; Thrombosis,70,severe aortic stenosis high mortality if untreated,high
Apathy,10,neuropsychiatric symptom not life-threatening,med
Apnea of Prematurity,50,can cause life-threatening events in neonates,med
Arterial Hypertension,40,chronic risk factor manageable,high
Arterial Hypertension; Albuminuria,42,hypertension with renal involvement chronic morbidity,med
"Arthritis, Juvenile",45,chronic disabling childhood arthritis,high
"Arthritis; Osteoarthritis, Knee; Osteoarthritis, Hip; Thromboembolism",40,thromboembolism component carries mortality risk,med
Ascites; Hepatic Cirrhosis,80,decompensated cirrhosis high mortality,high
Asthma,40,chronic disease usually manageable but can be fatal,high
Asthma; Wheezing,40,chronic airway disease usually manageable,high
Atherosclerotic Disease; Perioperative Bleeding,55,vascular disease with bleeding/thrombotic risk,med
Atopic Dermatitis,20,chronic skin disease bothersome not life-threatening,high
"Atopic Dermatitis; Atopic Dermatitis, Unspecified; Eczema; Eczema, Atopic",20,chronic skin disease bothersome not life-threatening,high
Atrial Fibrillation,45,arrhythmia with stroke risk manageable,high
Atrial Fibrillation; Cardiac Surgery; Colchicine Adverse Reaction,50,AF in cardiac surgery setting,med
Atrial Fibrillation; End-stage Kidney Disease,70,ESKD high mortality (most severe component),high
Atrial Fibrillation; Heart Diseases,50,AF with structural heart disease,med
Atrial Fibrillation; Intracerebral Hemorrhage,80,intracerebral hemorrhage high mortality,high
Atrial Fibrillation; Periodontal Disease; Hemorrhage,45,AF with bleeding risk,med
Atrial Fibrillation; Stroke,75,stroke high mortality and disability,high
Atrial Fibrillation; Stroke; Bleeding,75,stroke high mortality and disability,high
Atrial High Rate Episodes,40,subclinical arrhythmia with stroke risk,med
Atrophic Vaginitis,8,benign quality-of-life condition,high
Attention Deficit Hyperactivity Disorder (ADHD),20,chronic neurodevelopmental disorder not life-threatening,high
"Atypical; Mycobacterium, Pulmonary, Tuberculous",65,pulmonary mycobacterial infection serious and progressive,med
Autism Spectrum Disorder,20,neurodevelopmental disorder not life-threatening,high
Autism Spectrum Disorders,20,neurodevelopmental disorder not life-threatening,high
Autistic Disorder in Children and Adolescents,20,neurodevelopmental disorder not life-threatening,high
Autoimmune Diseases; Sjogren's Syndrome; Dry Eye,35,Sjogren's chronic with possible systemic involvement,med
Autosomal Dominant Polycystic Kidney Disease,55,progressive to end-stage renal failure,high
Autosomal Dominant Polycystic Kidney Disease (ADPKD),55,progressive to end-stage renal failure,high
Autosomal Dominant Polycystic Kidney Disease （ADPKD),55,progressive to end-stage renal failure,high
"Azoospermia, Nonobstructive; Oligozoospermia",10,infertility condition not life-threatening,high
BPH With Other Lower Urinary Tract Symptoms,15,benign prostatic symptoms quality-of-life,high
Back Pain Lower Back Chronic,15,chronic pain disabling not life-threatening,high
Back Pain; Neck Pain,15,chronic pain not life-threatening,high
Bacteremia,75,bloodstream infection can progress to sepsis and death,high
Bacterial Pneumonia; Community-Acquired Infections,65,pneumonia can be fatal especially in vulnerable patients,high
Bariatric Surgery Candidate,30,severe obesity with comorbidity risk surgical setting,med
"Bariatric Surgery Candidate; Perioperative Complication; Nausea; Vomiting, Postoperative; Drug Effect",25,perioperative supportive setting,med
Barrett's Esophagus,30,premalignant condition with cancer risk,med
Behcet syndrome,55,systemic vasculitis with possible organ-threatening involvement,med
Benign Prostatic Hyperplasia,15,benign prostatic symptoms quality-of-life,high
Benign Prostatic Hyperplasia; Enlarged Prostate,15,benign prostatic symptoms quality-of-life,high
Benzodiazepine Refractory Status Epilepticus,90,refractory status epilepticus high mortality emergency,high
Bicuspid Aortic Valve,50,congenital valve anomaly with progression risk,med
Biochemical Relapse After Definitive Treatment for Prostate Cancer,55,rising PSA after prostate cancer treatment indolent course,med
Bipolar Disorder,40,serious chronic psychiatric disorder with suicide risk,high
Bipolar I Disorder,40,serious chronic psychiatric disorder with suicide risk,high
Bladder Cancer,75,active malignancy high mortality if advanced,high
Bleeding; ERCP,40,procedural bleeding risk,med
Blepharitis,5,benign eyelid inflammation,high
Blood Cancer,85,hematologic malignancy high mortality,med
Blood Loss,40,acute blood loss severity depends on degree,low
Bloodstream Infections (BSI) Due to CRE; Hospital-Acquired Bacterial Pneumonia (HABP) Due to CRE; Ventilator-Associated Bacterial Pneumonia (VABP) Due to CRE; Complicated Urinary Tract Infection (cUTI) Due to CRE; Acute Pyelonephritis (AP) Due to CRE,90,carbapenem-resistant infections very high mortality,high
Bone Metastases,80,metastatic cancer high mortality,high
Bone Mineral Density Quantitative Trait Locus 7,15,genetic trait related to bone density not acutely severe,low
Borderline personality disorder,40,chronic psychiatric disorder with substantial suicide and self-harm mortality risk,high
Bowel Cleansing; Colon Capsule Completion Times,5,procedural bowel preparation,high
Bowel Preparation,5,procedural bowel preparation,high
"Brachial Plexus Block; Pain, Postoperative",10,postoperative analgesia setting,high
Brain Cancer; Glioblastoma Multiforme,95,glioblastoma rapidly fatal,high
Brain Injuries,70,traumatic brain injury high mortality and disability,med
Brain Tumor Treated With Cranial or Cranial-Spinal Radiation,80,brain tumor high mortality,med
Breast Cancer,75,active malignancy with significant mortality,high
Breast Cancer; Heart Failure; Cardiotoxicity,80,cancer plus heart failure high mortality,high
Breast Cancer; Lung Cancer; Ovarian Cancer; Oesophageal Cancer; Head Cancer Neck; Cervical Cancer; Endometrial Cancer,88,multiple active malignancies; esophageal/lung high mortality,high
Breast Cancer; Ovarian Cancer; Pancreas Cancer; Prostate Cancer; BRCA1 Mutation; BRCA-Mutated Ovarian Carcinoma; BRCA-Associated Breast Carcinoma; HRD Positive Advanced Ovarian Cancer,90,pancreatic and advanced ovarian cancer high mortality,high
Breast Diseases,40,broad category variable severity,low
Breast Neoplasms; BRCA 1 Gene Mutation; BRCA 2 Gene Mutation,75,breast cancer with hereditary risk significant mortality,high
Bronchopulmonary Dysplasia,65,chronic neonatal lung disease with mortality risk,med
Bronchoscopy,15,diagnostic procedure setting,high
Bronchoscopy; Conscious Sedation,15,procedural sedation setting,high
Bulimia Nervosa,35,eating disorder with metabolic and mortality risk,med
Bullous Pemphigoid,45,autoimmune blistering disease with morbidity in elderly,med
CDKL5 deficiency disorder,70,severe early-onset epileptic encephalopathy with disability,med
CMV Disease,70,opportunistic infection serious in immunocompromised,med
COPD,60,progressive respiratory failure and premature death,high
COVID 19,75,acute respiratory failure with significant mortality in severe cases,high
COVID-19,75,acute respiratory failure with significant mortality in severe cases,high
COVID-19 Pneumonia,80,viral pneumonia with respiratory failure risk,high
COVID-19; Corona Virus Infection; ARDS; Acute Respiratory Distress Syndrome,90,ARDS with high mortality respiratory failure,high
COVID-19; SARS-CoV 2,75,acute viral respiratory illness with severe-case mortality,high
COVID-19; Severe Acute Respiratory Syndrome,85,severe respiratory syndrome with high mortality,high
COVID-19; Thrombosis Embolism; Bleeding,80,viral illness with thrombotic and hemorrhagic mortality,high
COVID-19; Viral Respiratory Illnesses,70,viral respiratory illness with variable severity,med
COVID-19; ards,90,ARDS with high mortality respiratory failure,high
COVID-19; cytokine release syndrome,85,hyperinflammatory syndrome with high mortality,high
COVID; COVID-19; SARS-CoV 2; Coronavirus; Corona Virus Infection,75,acute viral respiratory illness with severe-case mortality,high
COVID; COVID-19; SARS-CoV-2; SARS (Severe Acute Respiratory Syndrome),85,severe respiratory syndrome with high mortality,high
CTEPH,80,chronic thromboembolic pulmonary hypertension with progressive right heart failure,high
Cachexia in Advanced Cancer,90,wasting in advanced terminal cancer,high
Cancer,85,malignancy with high mortality if untreated,high
Cancer Malignancies,85,malignancy with high mortality if untreated,high
Cancer Patients With COVID-19 Infection,90,immunocompromised cancer patients with severe viral illness,high
Cancer of Stomach,90,gastric cancer with high mortality,high
Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,95,metastatic cancer with rapid lethality,high
Cancer; Tumour; Surgery,85,malignancy requiring surgical resection,high
"Carcinoma, Non-Small-Cell Lung",90,lung cancer with high mortality,high
"Carcinoma, Pancreatic Ductal",95,pancreatic cancer rapidly fatal,high
Cardiac Arrest,95,sudden death without immediate intervention,high
Cardiac Disease,75,heart disease with mortality risk,med
Cardiac Edema,55,fluid overload reflecting underlying cardiac dysfunction,med
Cardiac Surgery; Congenital Heart Defects; Cardiopulmonary Bypass,80,major cardiac surgery for structural heart disease,high
Cardiac-induced Edema,55,fluid overload reflecting underlying cardiac dysfunction,med
Cardiomyopathies; Chemotherapy Effect; Diastolic Dysfunction; Systolic Dysfunction,75,cardiomyopathy with heart failure progression,high
"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",70,hypertrophic cardiomyopathy with sudden death risk,high
Cardiopulmonary Bypass,60,procedural setting for cardiac surgery,med
Cardiothoracic Surgery; Vascular Surgery,65,major surgery for serious cardiovascular disease,med
Cardiovascular Disease,70,cardiovascular disease with mortality risk,high
Cardiovascular Disease; Insulin Resistance; Glucose Intolerance; Obesity,65,cardiovascular disease with metabolic comorbidity,med
Cardiovascular Diseases,70,cardiovascular disease with mortality risk,high
Carotid Artery Occlusion; Middle Cerebral Artery Occlusion; Stroke,85,acute stroke with high disability and mortality,high
Carotid Artery Stenosis; Strokes,80,stroke risk with disability and mortality,high
Carpal Tunnel Syndrome,15,nerve compression non-life-threatening,high
Cataract,10,reversible visual impairment not life-threatening,high
Cell Cancer,85,malignancy with high mortality,med
Cell Carcinoma,85,carcinoma with high mortality,med
Cell Lymphoma,85,lymphoma with significant mortality,med
Cellulitis,35,bacterial skin infection treatable but can progress,med
Cerebral Aneurysm,85,rupture risk with high mortality,high
Cerebral Vein Thrombosis,80,venous thrombosis with stroke and mortality risk,high
Cervical Carcinoma,85,cervical cancer with high mortality,high
Cesarean Section Complications,45,obstetric surgical complications with hemorrhage risk,med
"Cesarean Section Complications; Blood Loss, Surgical; Misoprostol; Tranexamic Acid",55,surgical hemorrhage with mortality risk,med
Cesarean complications,45,obstetric surgical complications with hemorrhage risk,med
Chemoradiotherapy in Cervical Cancer,85,cervical cancer with high mortality,high
Chemotherapy Induced Nausea and Vomiting,20,supportive-care symptom not life-threatening,high
Chemotherapy-Induced Nausea and Vomiting,20,supportive-care symptom not life-threatening,high
Chemotherapy-induced Nausea and Vomiting,20,supportive-care symptom not life-threatening,high
Child Comfort; Morphine; Intensive Care Units; Pediatric,60,critically ill pediatric ICU setting,med
Child Preschool,10,developmental setting not a severe disease,low
Children With Febrile Urinary Tract Infection,45,pediatric infection with sepsis potential,med
"Chorea, Huntington",85,fatal neurodegenerative disease,high
Chronic Allergic Conjunctivitis,8,benign chronic eye irritation,high
Chronic Graft Versus Host Disease,75,serious post-transplant complication with mortality,high
Chronic Graft-Versus-Host Disease,75,serious post-transplant complication with mortality,high
Chronic Heart Failure With Reduced Ejection Fraction,80,heart failure with high mortality,high
Chronic Heart Failure With Reduced Ejection Fraction (HFrEF),80,heart failure with high mortality,high
Chronic Heart Failure; Acute Heart Failure; Diabetes Mellitus,80,heart failure with high mortality,high
Chronic Hepatitis B,55,chronic liver disease with cirrhosis and cancer risk,high
Chronic Hepatitis C,55,chronic liver disease with cirrhosis and cancer risk,high
Chronic Idiopathic Urticaria,15,chronic hives non-life-threatening,high
Chronic Inflammatory Demyelinating Polyradiculopathy,55,progressive disabling neuropathy,high
Chronic Kidney Disease,60,progressive renal failure life-shortening,high
Chronic Kidney Disease; Depression,60,progressive renal failure life-shortening,high
"Chronic Kidney Disease; Hyperparathyroidism; Hyperparathyroidism, Secondary; Kidney Disease; Secondary Hyperparathyroidism",60,progressive renal failure life-shortening,high
Chronic Kidney Diseases,60,progressive renal failure life-shortening,high
Chronic Leukemia,75,chronic leukemia life-shortening malignancy,high
Chronic Lymphocytic Leukaemia,70,indolent leukemia life-shortening,high
Chronic Lymphocytic Leukemia,70,indolent leukemia life-shortening,high
Chronic Lymphocytic Leukemia; Mantle Cell Lymphoma; Diffuse Large B-cell Lymphoma; Indolent Non-Hodgkin's Lymphoma,85,aggressive lymphoma with high mortality,high
Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,70,indolent leukemia life-shortening,high
Chronic Myelogenous Leukemia,70,leukemia life-shortening if untreated,high
Chronic Myelogenous Leukemia; Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Acute Biphenotypic Leukemia; Myelodysplastic Syndrome; Myeloproliferative Neoplasm; Non-Hodgkin Lymphoma; Hodgkins Disease; Chronic Lymphocytic Leukemia; Multiple Myeloma,95,acute leukemia rapidly fatal if untreated,high
Chronic Myeloid Leukemia,70,leukemia life-shortening if untreated,high
Chronic Obstructive Pulmonary Disease,60,progressive respiratory failure and premature death,high
Chronic Pain,20,disabling but not life-threatening,high
Chronic Peripheral Post-traumatic Neuropathic Pain,20,disabling chronic pain not life-threatening,high
Chronic Rhinosinusitis With Nasal Polyps,15,chronic sinus disease non-life-threatening,high
Chronic Rhinosinusitis With Polyposis,15,chronic sinus disease non-life-threatening,high
Chronic Subdural Hematomas,65,intracranial bleed with neurological deterioration,high
Chronic Thromboembolic Pulmonary Hypertension,80,progressive right heart failure high mortality,high
Chronic Viral Hepatitis B Without Delta-agent,55,chronic liver disease with cirrhosis risk,high
Chronic pain,20,disabling but not life-threatening,high
Churg-Strauss Syndrome; Eosinophilic Granulomatosis With Polyangiitis,70,systemic vasculitis with organ-threatening complications,high
Circulatory; Change,30,nonspecific circulatory condition,low
Cirrhosis,80,end-stage liver disease with high mortality,high
Cirrhosis; Hepatic Encephalopathy; Hyponatremia,85,decompensated cirrhosis with high mortality,high
"Cirrhosis; Hypertension, Portal; Bleeding Esophageal Varices; Portal Vein Thrombosis",85,variceal bleeding in cirrhosis high mortality,high
Classical progressive supranuclear palsy,80,fatal neurodegenerative disease,high
Clostridium Difficile,55,severe colitis with mortality risk,high
Clostridium Difficile Infection,55,severe colitis with mortality risk,high
Cognitive Change; Behavior,30,nonspecific cognitive symptoms,low
"Colitis, Ulcerative",55,chronic inflammatory bowel disease with complications,high
Colon Cancer,85,colorectal cancer with high mortality,high
Colon Cancer; Inflammatory Bowel Diseases; Gastrointestinal Bleed; Colon Polyp,85,colorectal cancer with high mortality,high
Colonoscopy,8,diagnostic procedure low risk setting,high
Colorectal Cancer,85,colorectal cancer with high mortality,high
Colorectal Cancer; Metastases,95,metastatic colorectal cancer rapidly fatal,high
Colorectal Neoplasms; Neoplasm Metastasis; Intestinal Neoplasms; Gastrointestinal Neoplasms; Digestive System Neoplasms,95,metastatic gastrointestinal cancer high mortality,high
Colorectal and Pancreas Cancer,95,pancreatic cancer rapidly fatal,high
Community Acquired Bacterial Pneumonia,60,pneumonia with mortality risk in severe cases,high
Community Acquired Pneumonia,60,pneumonia with mortality risk in severe cases,high
Community Acquired Respiratory Disease Syndrome,60,respiratory infection with mortality risk,med
Community-acquired Bacterial Pneumonia,60,pneumonia with mortality risk in severe cases,high
Community-acquired Pneumonia; Bacterial Pneumonia,60,pneumonia with mortality risk in severe cases,high
Complicated Intra-abdominal Infection,65,abdominal infection with sepsis risk,high
Complicated Intra-abdominal Infections; Complicated Appendicitis,65,abdominal infection with sepsis risk,high
Complicated Skin and Soft Tissue Infection,50,deep soft tissue infection with sepsis potential,med
Complicated Urinary Tract Infection; Acute Pyelonephritis,55,kidney infection with sepsis risk,high
Complicated Urinary Tract Infection; Complicated Intra-abdominal Infection,65,abdominal infection with sepsis risk,high
Complications of Bone Marrow Transplant; Hematologic Neoplasms,90,hematologic malignancy with transplant complications,high
Congenital Adrenal Hyperplasia,50,endocrine disorder with adrenal crisis risk,med
Congenital Cystic Kidney Disease,60,progressive renal failure,med
Congenital Cytomegalovirus Infection,55,congenital infection with neurodevelopmental harm,med
Congenital Cytomegalovirus Infection; Sensorineural Hearing Loss,55,congenital infection with permanent disability,med
Congenital Heart Disease With Fontan Circulation,75,complex congenital heart disease life-shortening,high
Congenital Heart Disease in Children; Inflammatory Response,70,congenital heart disease serious in children,med
Congestive heart failure,80,heart failure with high mortality,high
Constipation,5,benign self-limited symptom,high
Contraceptive Usage,5,healthy contraception setting not a disease,high
Corona Virus Infection,70,viral respiratory infection with severe-case risk,high
Corona Virus Infection; Acute Respiratory Distress Syndrome; SARS-CoV Infection; Coronavirus; Coronavirus Infections,90,ARDS with high mortality respiratory failure,high
Coronary Artery Bypass,70,surgical setting for serious coronary disease,high
Coronary Artery Disease,65,ischemic heart disease with MI and death risk,high
Coronary Artery Disease (CAD),65,ischemic heart disease with MI and death risk,high
Coronary Artery Disease (CAD); Acute Coronary Syndrome (ACS),80,acute coronary syndrome with high mortality,high
Coronary Artery Disease; Acute Coronary Syndrome,80,acute coronary syndrome with high mortality,high
Coronary Artery Disease; Angina Pectoris,60,ischemic heart disease with cardiac event risk,high
Coronary Artery Disease; Chronic Kidney Disease; Hypovitaminosis D; Secondary Hyperparathyroidism,65,coronary disease with renal comorbidity,med
Coronary Artery Disease; Endothelial Function,60,ischemic heart disease with cardiac event risk,med
Coronary Artery Disease; Myocardial Ischemia; Myocardial Infarction; Stent Thrombosis; Cardiovascular Diseases,80,myocardial infarction with high mortality,high
Coronavirus Infection,70,viral respiratory infection with severe-case risk,high
"Coronavirus Infection; Pneumonia, Viral; Acute Respiratory Distress Syndrome",90,ARDS with high mortality respiratory failure,high
"Coronavirus Infections; Pneumonia, Viral",75,viral pneumonia with respiratory failure risk,high
Coronavirus; Acute Respiratory Infection; SARS-CoV Infection,75,severe respiratory infection with mortality risk,high
Coronavirus; Severe Acute Respiratory Syndrome,85,severe respiratory syndrome with high mortality,high
Cough,5,benign self-limited symptom,high
Covid-19 Pneumonia,80,viral pneumonia with respiratory failure risk,high
Covid-19; Hypoxia,80,viral illness with hypoxic respiratory failure,high
Covid19,75,acute viral respiratory illness with severe-case mortality,high
Covid19; Covid-19 ARDS,90,ARDS with high mortality respiratory failure,high
Covid19; Hypoxia,80,viral illness with hypoxic respiratory failure,high
Covid19; SARS-CoV Infection,75,acute viral respiratory illness with severe-case mortality,high
Covid19; SARS-CoV Infection; ards; acute kidney injury,90,ARDS with multiorgan failure high mortality,high
Covid19; Viral Pneumonia Human Coronavirus; Severe Acute Respiratory Syndrome,85,severe respiratory syndrome with high mortality,high
Coxarthrosis; Arthroplasties Hip Replacement; Perioperative Blood Loss,30,degenerative joint disease with surgical blood loss,med
Critical Illness,85,critically ill with high mortality,high
Critical Illness; Sedation; Mechanical Ventilation,85,critically ill ventilated patients high mortality,high
Critical Ischemia,80,critical limb ischemia with amputation and mortality risk,high
Crohn disease,55,chronic inflammatory bowel disease with complications,high
Crohn's Disease,55,chronic inflammatory bowel disease with complications,high
Crohn's disease,55,chronic inflammatory bowel disease with complications,high
Cryptococcal Meningitis; Fungal Meningitis,90,fungal meningitis with high mortality,high
Cushing syndrome,55,endocrine disorder with serious metabolic complications,med
Cutaneous Leishmaniasis,30,parasitic skin infection rarely fatal,med
Cutaneous Melanoma,80,melanoma with metastatic and mortality risk,high
