disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
Osteoarthritis,60,80,80,high,Osteoarthritis: web-verified ~47% placebo responders on VAS pain; subjective pain endpoint
COPD,40,48,50,high,"COPD: spirometry + symptom/exacerbation endpoints, moderate placebo"
Parkinson's Disease,45,60,58,high,"Parkinson's: UPDRS clinician+patient rating, well-documented large placebo response"
Ovarian Cancer,15,20,22,high,"Ovarian cancer: objective PFS/OS endpoints, minimal placebo"
gout,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Chronic Lymphocytic Leukemia,18,22,24,high,"CLL: objective response/PFS endpoints, minimal placebo"
Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Hypertension,22,20,25,high,"Hypertension: objective BP measurement, small placebo/regression effect"
"Diabetes Mellitus, Type 2",22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Advanced Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Alzheimer's Disease,42,60,60,high,"Alzheimer's: ADAS-cog/CDR cognitive-clinical scales, slow change, high uncertainty"
anemia of chronic kidney disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Psoriatic Arthritis,40,55,52,high,"PsA: ACR/composite endpoints with patient-reported components, moderate placebo"
Schizophrenia,50,78,70,high,"Schizophrenia: moderate placebo, clinician-rated PANSS/BPRS subjective scale"
Type 1 Diabetes,22,22,25,high,"T1D: objective HbA1c/glucose endpoint, small placebo drift"
Heart Failure,30,38,40,high,"Heart failure: mix of hard events (hospitalization/death) + symptom/QoL, low-moderate placebo"
Cell Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Postoperative Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
perennial allergic rhinitis,50,65,54,med,"Allergic rhinitis/symptomatic allergy: notable placebo, symptom-score patient-reported endpoint"
Cell Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
seasonal allergic rhinitis,50,65,54,med,"Allergic rhinitis/symptomatic allergy: notable placebo, symptom-score patient-reported endpoint"
NSCLC,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Atopic Dermatitis,38,55,52,high,"Atopic dermatitis: EASI/IGA + itch (patient-reported), moderate placebo"
Cirrhosis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
chronic obstructive pulmonary disease,40,48,50,high,"COPD: spirometry + exacerbation/symptom endpoints, moderate placebo"
plaque psoriasis,32,48,45,high,"Plaque psoriasis: PASI clinician-scored endpoint, modest placebo"
heart failure,30,38,40,high,"Heart failure: mix of hard events (hospitalization/death) + symptom/QoL, low-moderate placebo"
insomnia,62,82,82,high,"Insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
psoriasis,32,48,45,high,"Psoriasis: PASI clinician visual-severity score, modest placebo"
atrial fibrillation,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Pulmonary Arterial Hypertension,35,40,45,high,"PAH: 6-minute-walk-distance (effort-dependent) + hemodynamics, moderate placebo"
chronic idiopathic constipation,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
smoking cessation,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Covid19,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
hot flashes,55,75,62,med,"Vasomotor/hot-flash symptoms: very high placebo, patient-reported symptom-frequency endpoint"
Clostridium Difficile Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
constipation,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
vitamin D deficiency,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
atopic dermatitis,38,55,52,high,"Atopic dermatitis: EASI/IGA + itch (patient-reported), moderate placebo"
immune thrombocytopenia,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Chronic Kidney Disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
ulcerative colitis,38,52,50,high,"UC: endoscopic (objective) + clinical/patient-reported (Mayo) components, notable placebo"
Low back pain,65,85,84,high,"Low back pain: large placebo, subjective pain endpoint, high natural-history variability"
Ulcerative Colitis,38,52,50,high,"UC: endoscopic (objective) + clinical/patient-reported (Mayo) components, notable placebo"
Asthma,40,50,50,high,"Asthma: FEV1 (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Diabetes Mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
malaria,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
"Lung Diseases, Interstitial",30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
bipolar I disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
overactive bladder,55,70,72,high,"OAB: high placebo, patient-reported voiding-diary endpoint"
Chemotherapy-Induced Nausea and Vomiting,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Idiopathic Pulmonary Fibrosis,30,35,40,high,"IPF: objective FVC decline endpoint, low-moderate placebo"
irritable bowel syndrome,72,85,87,high,"IBS: web-verified placebo ~27-37% (global improvement), patient-reported symptom endpoint"
Uveitis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Smoking Cessation,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Chronic Myeloid Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Chemotherapy-induced Nausea and Vomiting,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
sedation,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Cushing syndrome,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Major Depression,78,88,90,high,"Major depression: high placebo (~31%), subjective HAM-D/MADRS endpoint"
hypotension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Pancreatic Cancer,15,20,22,high,"Pancreatic cancer: objective OS/PFS endpoints, minimal placebo"
"Pain, Postoperative",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
chronic kidney disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
"Tuberculosis, Multidrug-Resistant; Infection, Bacterial; Pulmonary Tuberculoses",20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Coronary Artery Disease,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
acne vulgaris,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Duchenne Muscular Dystrophy,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Acute Coronary Syndrome,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Atrial Fibrillation,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Essential Hypertension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
pulmonary arterial hypertension,35,40,45,high,"PAH: 6-minute-walk-distance (effort-dependent) + hemodynamics, moderate placebo"
"Intracranial Hemorrhages; Intracranial Hemorrhage, Hypertensive; Subarachnoid Hemorrhage; Subdural Hematoma; Intraventricular Hemorrhage; Atrial Fibrillation; Atrial Flutter; Small Vessel Cerebrovascular Disease; Microhaemorrhage",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Gastric Cancer,15,20,22,high,"Gastric cancer: objective survival/response endpoints, minimal placebo"
functional constipation,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
autism spectrum disorder,55,75,62,med,"Neuro symptomatic (functional/QoL-driven): moderate-high placebo, rating-scale/patient-reported endpoint"
chronic cough,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
valvular heart disease,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Nicotine Dependence,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
cytomegalovirus infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Sepsis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
opioid use disorder,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Human Immunodeficiency Virus,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
dry eye syndrome,45,60,49,med,"Symptomatic eye (dry eye/uveitis): notable placebo, mix of patient-reported + clinical signs"
Healthy,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Pain Management,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Infertility,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
allergic rhinitis,50,65,54,med,"Allergic rhinitis/symptomatic allergy: notable placebo, symptom-score patient-reported endpoint"
in Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Polycythemia Vera,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Osteoarthrosis,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Fibromyalgia,75,90,90,high,"Fibromyalgia: substantial placebo (ES ~0.53), subjective pain VAS, high variability"
Tuberculosis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
coronary artery disease,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
nicotine dependence,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
"Hypertension, Pulmonary",20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Erosive Esophagitis,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
Metastatic Colorectal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Gastric Ulcers; Duodenal Ulcers,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
postpartum hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
With Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Delirium,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
skin and soft tissue bacterial infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
essential hypertension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Cell Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
uterine fibroids,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Metastatic Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Influenza,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
contraception,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
venous thromboembolism,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Bone Mineral Density Quantitative Trait Locus 7,25,30,25,med,"Bone (osteoporosis/BMD/fracture): objective DXA/fracture endpoints, low placebo"
Gastric Ulcer,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
bipolar disorder,55,80,75,high,"Bipolar disorder: moderate-high placebo, clinician-rated mood scales"
fibromyalgia,75,90,90,high,"Fibromyalgia: substantial placebo (ES ~0.53), subjective pain VAS, high variability"
Labor induction,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Metastatic Prostate Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Hyperlipidemia,18,18,22,high,"Hyperlipidemia: objective lipid lab endpoint, minimal placebo"
Coronavirus Infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
type 2 diabetes mellitus,22,22,25,high,"T2D: objective HbA1c endpoint, small placebo drift"
nasal polyps,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Epilepsy,40,45,48,high,"Epilepsy: seizure-frequency (semi-objective, diary-based), notable placebo"
Low Back Pain,65,85,84,high,"Low back pain: large placebo, subjective pain endpoint, high natural-history variability"
pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Septic Shock,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
cardiomyopathy,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Non-Hodgkin's Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
hypertrophic cardiomyopathy,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Primary Peritoneal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Blood Loss,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
total hip arthroplasty,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
ankle sprain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Chronic Myelogenous Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
bacterial pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Bipolar Disorder,55,80,75,high,"Bipolar disorder: moderate-high placebo, clinician-rated mood scales"
preeclampsia,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
chronic rhinosinusitis with nasal polyps,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
vasospastic angina,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
gastroesophageal reflux disease,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
Follicular Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Polycystic Ovary Syndrome,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Crohn's disease,40,55,52,high,"Crohn's: CDAI patient-reported + endoscopic, moderate-high placebo"
Anaplastic Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Migraine,60,80,78,high,"Migraine: web-verified placebo ~21-29% responder, headache-diary endpoint"
open-angle glaucoma,45,60,49,med,"Symptomatic eye (dry eye/uveitis): notable placebo, mix of patient-reported + clinical signs"
episodic migraine,60,80,78,high,"Episodic migraine prophylaxis: placebo ~25%, patient headache-diary endpoint"
cardiac arrest,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
obesity,35,45,37,med,Obesity: objective weight endpoint but behavioral placebo/lifestyle effect moderate
Chronic pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Advanced Gastric Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Epilepsy; Partial Seizures,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Obesity,35,45,37,med,Obesity: objective weight endpoint but behavioral placebo/lifestyle effect moderate
complicated urinary tract infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
mania,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Type 1 Diabetes Mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Sore Throat,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Asthma; Wheezing,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Benzodiazepine Refractory Status Epilepticus,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Neck Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Bariatric Surgery Candidate; Perioperative Complication; Nausea; Vomiting, Postoperative; Drug Effect",70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Metastatic Pancreatic Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Acute Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
cervical ripening,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
gastric cancer,15,20,22,high,"Gastric cancer: objective survival/response endpoints, minimal placebo"
Stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Systemic Lupus Erythematosus,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
postoperative pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Benign Prostatic Hyperplasia,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Recurrent urinary tract infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Nonalcoholic Steatohepatitis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Myopia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
actinic keratosis,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Endometrial Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Polycystic Kidney, Autosomal Dominant",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Liver Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Previously Untreated Chronic Lymphocytic Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Back Pain Lower Back Chronic,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Upper Gastrointestinal Bleeding,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Dysmenorrhea,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
cell Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
medical abortion,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Endometrial Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Heartburn,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
"Diabetic Neuropathy, Painful",22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Graves disease,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Sickle Cell Disease,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
liposarcoma or leiomyosarcoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Plaque Psoriasis,32,48,45,high,"Plaque psoriasis: PASI clinician-scored endpoint, modest placebo"
Patent Ductus Arteriosus,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Functional Endoscopic Sinus Surgery (FESS),70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Spinal anesthesia-induced hypotension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Metastatic Pancreatic Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
diabetes Mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
severe hypertriglyceridemia,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Non-Small Cell Lung Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Pain Relief,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
positive Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Sedation or Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Status Epilepticus; Epilepsy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Pediatric Bipolar Disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
hip fracture,25,30,25,med,"Bone (osteoporosis/BMD/fracture): objective DXA/fracture endpoints, low placebo"
diabetic macular edema,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
preterm labor and delivery,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Labor pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
tobacco use disorder,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
