drug,indication,corroboration_level,evidence
AZD5363,cancer,direct_trial,"AZD5363/capivasertib (Truqap) is FDA-approved (Nov 16, 2023) with fulvestrant for HR+/HER2- metastatic breast cancer with PIK3CA/AKT1/PTEN alterations (CAPItello-291), and has numerous registered trials across breast cancer, B-cell lymphoma (CAPITAL), TNBC, and AKT-altered solid tumors (NCI-MATCH subprotocol Y, NCT04439123)."
AZD8931,lung cancer,direct_trial,"AZD8931 was a registered targeted-therapy arm in the SAFIR02_Lung phase II trial (NCT02117167) in metastatic non-small cell lung cancer, and was also offered in the SAFIR02L/SAFIRO2L bioguided-therapy lung program."
AZD8931,cancer,direct_trial,"AZD8931 (sapitinib) is a clinical-stage anticancer pan-ErbB inhibitor with multiple registered oncology trials: gastric/GEJ cancer (NCT01579578, terminated), advanced solid tumours/breast cancer (NCT00900627), and NSCLC (NCT02117167)."
AZD8931,squamous cell carcinoma,target_class_trial,"No AZD8931 trial in SCC exists (only preclinical activity in SCC cell lines), but the same target class is clinically validated in SCC: cetuximab, an EGFR inhibitor, is FDA-approved for squamous cell carcinoma of the head and neck."
AZD8931,head and neck squamous cell carcinoma,target_class_trial,"AZD8931 in HNSCC is only preclinical (SNU repository study of sapitinib as adjuvant chemotherapy in HNSCC; potent vs gefitinib/lapatinib in HNSCC cell lines), but the EGFR-targeting class drug cetuximab is FDA-approved (2006) for HNSCC, including with radiation and platinum-based chemo."
AZD8931,head and neck malignant neoplasia,target_class_trial,"Synonymous with head and neck cancer; no AZD8931 clinical trial here, but the EGFR inhibitor cetuximab (same target class, EGFR/ERBB) is FDA-approved for recurrent/metastatic and locoregional head and neck cancer."
Azilsartan,urinary system disease,direct_trial,"Azilsartan is in direct clinical trials for renal/urinary indications: ClinicalTrials.gov NCT05753696 'Azilsartan in Patients With Diabetic Kidney Disease and Hypertension', and a published randomized crossover RCT (Karger Kidney Blood Press Res 2023, PMID 33677450) showed azilsartan 20 mg reduced proteinuria in CKD patients more potently than candesartan."
Azilsartan,essential hypertension,direct_trial,"Azilsartan medoxomil (Edarbi) was FDA-approved Feb 2011 for treatment of hypertension based on 7 randomized double-blind Phase 3 trials (>5,900 patients), where it was superior to highest approved doses of olmesartan and valsartan; essential hypertension is the on-label indication."
Azilsartan,hypertension,direct_trial,"Hypertension is azilsartan medoxomil's (Edarbi) primary FDA-approved on-label indication (2011), supported by multiple Phase 3 trials and used alone or with other antihypertensives."
Azilsartan,cardiovascular disease,direct_trial,"The J-TASTE randomized controlled trial (Sci Rep 2023, PMC10397297) evaluated azilsartan vs candesartan in HFpEF/HFmrEF heart-failure patients for left ventricular diastolic dysfunction, with fewer new-onset atrial fibrillation events in the azilsartan arm — a registered cardiovascular clinical program for the drug, though not a powered outcomes trial."
Azilsartan,anemia,none,"Evidence runs opposite to a therapeutic claim: AGTR1 blockade by ARBs suppresses erythropoiesis (angiotensin II is a pro-erythropoietic growth factor and EPO secretagogue), and meta-analyses (e.g., QJM 2015) link ACEi/ARBs to CAUSING anemia/lowered hemoglobin; no trial uses azilsartan or any ARB to treat anemia, so this is a spurious genetic-ontology artifact reflecting a harmful, not beneficial, target-disease relationship."
BKM120,breast cancer,direct_trial,"BKM120 (buparlisib) was tested in multiple breast cancer trials including the phase III BELLE-2/BELLE-3 programs and a phase I with fulvestrant in ER+ metastatic breast cancer (PMC4818722, clinical benefit rate 58.6%) and a phase II in metastatic triple-negative breast cancer (PMC7607628)."
BKM120,immune system disease,target_class_trial,"No BKM120 trial in autoimmune/immune disease, but the PIK3CD (p110delta) isoform that BKM120 hits is the immune isoform: same-class PI3Kdelta inhibitor leniolisib was FDA-approved (Mar 2023, NCT02435173 phase 3) for the inborn immune disorder APDS, and PI3Kdelta inhibitors are in development for lupus, RA and MS."
BKM120,cancer,direct_trial,"BKM120 is a pan-class I PI3K anticancer drug enrolled in 80+ oncology trials across glioblastoma (PMC4144634), recurrent/metastatic head and neck cancer (NCT01852292), and CNS lymphoma (NCT02301364), directly corroborating the broad 'cancer' term."
BKM120,hypertension,preclinical_literature,"No clinical trial of BKM120 (or any PI3K inhibitor) treating hypertension; preclinical work (Cardiovasc Res 2012, academic.oup.com/cardiovascres/article/93/1/200) shows PI3Kgamma inhibition lowers blood pressure in hypertensive mice via an Akt/L-type calcium-channel vasorelaxant mechanism, though this is the gamma isoform, not the nominated PIK3CA/B/D primary targets."
BKM120,ovarian neoplasm,direct_trial,"BKM120 was trialed directly in ovarian cancer: a phase I of BKM120 + olaparib in high-grade serous ovarian cancer (29% ORR in 41 patients; Ann Oncol / NCT) and a phase Ib of BKM120 + trametinib showing 29% ORR in 21 ovarian cancer patients (Clin Cancer Res, PMID 25500057)."
DF2156A (ladarixin; Dompé oral dual CXCR1/CXCR2 allosteric antagonist),gastroenteritis,preclinical_literature,"No CXCR1/2-antagonist clinical trial in gastroenteritis/enterocolitis; but the selective CXCR2 antagonist SB225002 ameliorates acute experimental (DSS) colitis in mice (PMID 18653784), giving preclinical support for neutrophil-driven gut inflammation as a target-class indication. Ladarixin itself has no GI program."
DF2156A (ladarixin; Dompé oral dual CXCR1/CXCR2 allosteric antagonist),ulcerative colitis,preclinical_literature,"Strong preclinical/target-validation only: CXCR2 blockade (SB225002) markedly suppresses neutrophil proinflammatory activity and ameliorates DSS colitis (PMID 33042416), and CXCR1/CXCR2 were nominated as NET-related UC treatment targets via Mendelian randomization (Front Immunol 2024). No registered CXCR1/2-antagonist trial in UC (navarixin/reparixin/ladarixin have no IBD trial)."
DF2156A (ladarixin; Dompé oral dual CXCR1/CXCR2 allosteric antagonist),sclerosing cholangitis,mechanistic_only,"PSC chemokine-receptor trials exist but target CCR2/CCR5 (cenicriviroc, PERSEUS/NCT02653625), not CXCR1/CXCR2; no clinical or specific preclinical CXCR1/2-antagonist evidence in PSC was found. Support is mechanistic (neutrophilic cholangitis) only."
DF2156A (ladarixin; Dompé oral dual CXCR1/CXCR2 allosteric antagonist),psoriasis,target_class_trial,"Same-target-class precedent: the CXCR2 antagonist SCH527123/navarixin ran a Phase II trial in psoriasis (NCT00688467), and the CXCR2 antagonist RIST4721 was tested in palmoplantar pustulosis (Phase 2, NCT05194839). Not ladarixin itself, but a clinical CXCR2 program in this indication exists."
DF2156A (ladarixin; Dompé oral dual CXCR1/CXCR2 allosteric antagonist),ankylosing spondylitis,mechanistic_only,"IL-8/CXCL8-neutrophil rationale is documented in AS (CD14+ monocytes overexpress CXCL8; shared neutrophil pathogenesis with IBD), but no CXCR1/2-antagonist clinical trial or AS-specific preclinical efficacy study was found; closest mechanistic data are from RA synovium, so support is target-rationale only."
Danirixin,ulcerative colitis,preclinical_literature,"Selective CXCR2 antagonist SB225002 ameliorates DSS- and TNBS-induced experimental colitis in mice (reduced neutrophil influx, MPO, IL-1beta); CXCR2 blockade suppresses neutrophil proinflammatory activity in human UC (PMC7540107, PMID 18653784). No registered CXCR2-antagonist clinical trial in UC/IBD found."
Danirixin,gastroenteritis,mechanistic_only,"Only target rationale: IL-8/CXCL8 signals through CXCR1/CXCR2 to recruit neutrophils in H. pylori gastritis (PMC529101), but no CXCR2-antagonist preclinical efficacy study or clinical trial in gastroenteritis was found; H. pylori actually downregulates neutrophil CXCR2."
Danirixin,sclerosing cholangitis,preclinical_literature,"CXCR2 antagonism reduces neutrophil accumulation (CXCR2 immunohistochemistry) in the Mdr2-/- mouse model of sclerosing cholangitis, a preclinical PSC model (per CXCR2-antagonist liver-pathology literature, PMC9277870). No clinical trial of any CXCR2 antagonist in PSC found."
Danirixin,ankylosing spondylitis,mechanistic_only,"Only generic CXCL8-CXCR2 neutrophil-recruitment rationale; AS pathogenesis is dominated by IL-23/Th17/TNF and CXCR4 (osteogenic precursor migration), and no CXCR2-antagonist preclinical efficacy study or clinical trial in AS/spondyloarthritis was found."
Danirixin,psoriasis,target_class_trial,"Class precedent: the CXCR2 antagonist navarixin (SCH-527123/MK-7123) underwent Phase II evaluation in psoriasis, and RIST4721 (a CXCR2 antagonist) ran a Phase 2 study in palmoplantar pustulosis, a neutrophilic psoriasis variant (NCT05194839). No Danirixin-specific psoriasis trial exists."
E6201,hypertrophic cardiomyopathy,target_class_trial,"No E6201 trial in HCM, but the same target class is in active clinical use: the MEK1/2 inhibitor trametinib is being tested in an RCT for RASopathy-associated HCM (NCT06555237, MEKinRAS, Medical Univ. Warsaw), and binimetinib/MEK162 was trialed in Noonan-syndrome HCM (NCT01556568), with published case reports of HCM reversal."
E6201,cardiomyopathy,target_class_trial,"HCM is a cardiomyopathy; MEK1/2 inhibitors (trametinib, NCT06555237; binimetinib, NCT01556568) are in clinical trials for RAS/MAPK-pathway-driven cardiomyopathy, providing same-target-class clinical precedent though no E6201 trial exists."
E6201,cardiovascular disease,target_class_trial,"Broad rollup term; the concrete cardiovascular program for this target class is MEK-inhibitor treatment of RASopathy hypertrophic cardiomyopathy (trametinib RCT NCT06555237), which reduces morbidity/mortality in children with RAS/MAPK-pathway cardiac disease."
E6201,hypogonadism,preclinical_literature,"MAP3K1 is a known sex-determination/gonadal-development gene and MEK1/2 signaling is essential for male fetal germline development (mouse studies, e.g. PMC10696798); MAPK/steroidogenesis links exist in Leydig cells, but no clinical or target-class trial of E6201 or any MEK inhibitor in hypogonadism was found."
E6201,immune system disease,direct_trial,"E6201 itself was directly trialed as a topical gel for plaque-type psoriasis, an immune-mediated disease: Eisai-sponsored NCT00539929 (E6201 vs vehicle, plaque psoriasis) and NCT01268527 (topical E6201 gel in psoriasis vulgaris)."
Elafibranor,rheumatoid arthritis,target_class_trial,"No Elafibranor RA trial exists (Elafibranor's clinical program is confined to liver disease: PBC/NASH/PSC). However the PPAR target class is in human RA trials: a randomized double-blind placebo-controlled crossover RCT of the PPAR-gamma agonist pioglitazone 45 mg in RA (PMC3978636) showed reduced DAS28-CRP and CRP, and a second clinical study (PMC3040074) showed pioglitazone+methotrexate improved DAS28; the PPAR-alpha agonist fenofibrate (Elafibranor's exact PPARA target) reduced arthritis score in rat adjuvant-induced arthritis (PMID 24928921)."
Elafibranor,uveitis,preclinical_literature,"No Elafibranor or any PPAR-agonist clinical uveitis trial found, but Elafibranor's exact targets have preclinical efficacy: the PPAR-alpha agonist fenofibrate ameliorated experimental autoimmune uveoretinitis in Lewis rats (Mol Vis 2014, PMC4225135) and the PPAR-gamma agonist pioglitazone suppressed experimental autoimmune uveitis (PMID 24107513)."
Elafibranor,celiac disease,preclinical_literature,"No Elafibranor trial and no PPAR-agonist clinical trial in celiac disease (the celiac clinical pipeline centers on larazotide, an unrelated tight-junction agent). Mechanistic/preclinical link only: gliadin p31-43 induces tissue-transglutaminase-mediated PPAR-gamma downregulation in celiac mucosa and PPAR signaling is implicated in celiac tissue damage (Mol Med 2010, PMC2864807), with PPAR ligands anti-inflammatory in rodent intestinal models."
Elafibranor,ankylosing spondylitis,preclinical_literature,"No Elafibranor or PPAR-agonist clinical trial in ankylosing spondylitis. PPAR-gamma is reported as an NF-kB inhibitor implicated in AS inflammatory pathways, and PPAR-alpha agonist fenofibrate has anti-arthritic/anti-inflammatory preclinical effects in arthritis rodent models (PMC3681315, AJP-Endo 2011); evidence is mechanistic/preclinical with no AS-specific trial."
Elenbecestat,hyperlipidemia,preclinical_literature,"No trial of elenbecestat or any BACE1 inhibitor exists for hyperlipidemia (the class is Alzheimer's-only; elenbecestat program NCT02956486/NCT03036280 was early-AD, halted 2019). Preclinical-only link: BACE1-/- mice are lean, protected from diet-induced obesity, insulin-sensitized and excrete less fecal lipid (Meakin et al., Biochem J 2011; 'BACE1: more than just a beta-secretase', Obesity Reviews 2022), supporting a broad metabolic/lipid-handling role but no clinical evidence."
Elenbecestat,Hypercholesterolemia,mechanistic_only,"No elenbecestat or BACE1-inhibitor trial in hypercholesterolemia, and the cholesterol-specific preclinical evidence is null: BACE1-/- mice show NO difference in serum cholesterol (Meakin et al. 2011) and the literature states 'BACE1 is not involved in apoE and cholesterol metabolism' (cholesterol is normal in BACE1 KO; gamma-secretase/APP-LRP1 governs that axis). Only the genetic/mechanistic rationale (BACE1 co-localizes with cholesterol in lipid rafts; serum BACE1 activity weakly correlates with lower HDL) supports the nomination."
Esuberaprost,gastroenteritis,preclinical_literature,"Beraprost (the prostacyclin-analog racemate of which esuberaprost is the active 314d isomer) pretreatment prevented stress-induced gastric mucosal erosions in rats (ScienceDirect S0024320599001411), and IP-receptor knockout mouse studies (PubMed 11595421) show endogenous prostacyclin/IP signaling is gastroprotective against mucosal injury; no registered clinical trial of esuberaprost or any IP agonist in gastroenteritis/GI mucosal inflammation was found."
Esuberaprost,ulcerative colitis,preclinical_literature,"PGI2 alleviates DSS-induced colitis by reducing intestinal epithelial permeability/apoptosis and a PGI2 defect is present in IBD-patient mucosa (CMGH 2021, PMC8342971), and a PTGIR agonist reversed intestinal fibrosis in Crohn's disease in vivo (J Crohn's Colitis 2025, jjaf084); IP-receptor-agonist patents name UC/Crohn's as indications, but no registered/completed clinical trial of esuberaprost or any IP-receptor agonist in ulcerative colitis was found."
Etavopivat,anemia,direct_trial,"Etavopivat (FT-4202), a PKR/PKLR allosteric activator, is in registered trials for the anemias of sickle cell disease and thalassemia, including Phase 2 GLADIOLUS (NCT04987489) and Phase 3 HIBISCUS, which met both co-primary endpoints (hemoglobin response 48.7% vs 7.2% placebo)."
Etavopivat,gout,preclinical_literature,"No trial of etavopivat or any PK activator targets gout, but the disease etavopivat treats (chronic hemolytic anemia, e.g. sickle cell) is a documented cause of secondary hyperuricemia and gout via increased erythrocyte purine turnover (clinical case-report literature, e.g. tophaceous gout in autoimmune/sickle-cell hemolytic anemia); the link is to the hemolysis, not a direct anti-gout mechanism."
Etavopivat,interstitial lung disease,preclinical_literature,"No PKLR/etavopivat lung program; the pyruvate-kinase link to lung fibrosis is via the different isoform PKM2 (PKM2 stabilizes TGF-beta1 receptor I and promotes bleomycin-induced pulmonary fibrosis, Science Advances 2022). PKLR is the liver/erythrocyte isoform and is not the fibrosis-implicated isoform, so this is isoform-family preclinical signal only."
Etavopivat,bipolar disorder,mechanistic_only,"No PKLR-bipolar trial, drug, or specific gene association found; bipolar metabolic literature implicates the pyruvate dehydrogenase complex and pyruvate carboxylase / mitochondrial dysfunction (elevated brain pyruvate/lactate), not pyruvate kinase PKLR. Only a thin generic glycolysis/brain-energy rationale supports it (consistent with the low 0.385 genetic score), likely an ontology roll-up artifact."
Evacetrapib,metabolic syndrome,target_class_trial,"No dedicated evacetrapib metabolic-syndrome trial exists; CETP inhibitors as a class affect glucose/insulin metabolism (systematic review/meta-analysis of CETP inhibitors on new-onset diabetes, Eur Heart J Cardiovasc Pharmacother 2022 8:622), and new-onset diabetes was tracked as a secondary outcome in evacetrapib's ACCELERATE and anacetrapib's REVEAL, but no CETP-inhibitor program targets metabolic syndrome as a registered indication."
Evacetrapib,hyperlipidemia,direct_trial,"Evacetrapib was developed and clinically trialed specifically for dyslipidemia/hyperlipidemia: the Phase II RCT (Nicholls et al., JAMA 2011;306:2099, NCT01105975) tested evacetrapib as monotherapy and with statins in patients with elevated LDL-C/low HDL-C, producing up to +128% HDL-C and -35% LDL-C."
Evacetrapib,COVID-19,target_class_trial,"No evacetrapib COVID-19 trial exists, but the same-target-class CETP inhibitor dalcetrapib was tested in the dal-COVID Phase 2a randomized trial (NCT04676867) in mild-to-moderate COVID-19, based on dalcetrapib binding and inhibiting the SARS-CoV-2 3CL main protease (Pelletier et al., 2021)."
Evacetrapib,coronary artery disease,direct_trial,"Evacetrapib was directly trialed in coronary/vascular disease: the Phase 3 ACCELERATE trial (Lincoff et al., NEJM 2017;376:1933, NCT01687998) enrolled 12,092 high-risk vascular patients including those with acute coronary syndrome and coronary artery disease with diabetes (trial stopped early for lack of efficacy)."
Ezutromid,schizophrenia,mechanistic_only,"No ezutromid or other utrophin (UTRN) modulator trial in schizophrenia exists. UTRN does appear in psychiatric genetics literature, but the prominent UTRN GWAS hit (rs9390170, Psychiatry Investig) is for restless legs syndrome, not schizophrenia; UTRN is not among the 120 prioritised genes in the PGC3 schizophrenia GWAS (Trubetskoy et al., Nature 2022). The 0.633 score appears to be a genetic-ontology rollup with no clinical, preclinical, or target-class precedent in schizophrenia."
Ezutromid,Chronic pain,mechanistic_only,"No ezutromid or other utrophin-modulator clinical or preclinical program targets chronic pain. UTRN's documented role is structural (neuromuscular junction membrane maintenance and acetylcholine-receptor clustering); no literature links utrophin modulation to analgesia. The 0.528 score rests only on the genetic/target rationale with no clinical, preclinical, or class evidence found."
Ezutromid,Duchenne muscular dystrophy,direct_trial,"Ezutromid (SMT C1100) was developed specifically for DMD and tested in the Phase 2 open-label PhaseOut DMD trial (NCT02858362) in ambulatory boys with DMD; 38 patients completed 48 weeks. The trial failed its primary endpoint (June 2018) and Summit discontinued development, but a direct, registered clinical trial of this drug in this indication exists."
Ezutromid,muscular dystrophy,direct_trial,Muscular dystrophy is the parent term for the indication ezutromid was actually trialed in: the Phase 2 PhaseOut DMD study (NCT02858362) of ezutromid in Duchenne muscular dystrophy (a muscular dystrophy). A clinically equivalent registered trial of this drug exists.
GSK2586184,COVID-19,target_class_trial,"GSK2586184 was discontinued ~2014, before COVID-19 existed, so it was never trialed in COVID-19; but the JAK inhibitor baricitinib received FDA EUA (Nov 2020) and full FDA approval (May 2022) for hospitalized COVID-19 patients requiring oxygen, establishing JAK-pathway (incl. JAK1/IL-6 cytokine-storm) class precedent in this indication."
GSK2586184,immune system disease,direct_trial,"GSK2586184 itself was studied in Phase 2 trials for the immune-mediated diseases systemic lupus erythematosus (halted for futility plus liver-enzyme elevations/DRESS), chronic plaque psoriasis (met PASI75 primary endpoint, 62% vs 0% placebo at 400 mg), and ulcerative colitis (case reports, PMC5624036) — the broad immune-system-disease term resolves to real direct programs of this drug."
GSK2586184,rheumatoid arthritis,target_class_trial,"No record of GSK2586184 itself in RA, but same-class selective JAK1 inhibitors upadacitinib (Rinvoq) and filgotinib are FDA/EMA-approved for rheumatoid arthritis on the strength of Phase III trials (PMC8098104), giving strong selective-JAK1 target-class approval precedent."
GSK2798745,gout,preclinical_literature,"No clinical trial of GSK2798745 or any TRPV4 inhibitor in gout exists (GSK2798745's registered program is heart failure/pulmonary edema, e.g. NCT02119260/NCT02497937; registered gout pipeline trials are NLRP3 inhibitor dapansutrile NCT05658575 and URAT1 inhibitor ABP-671, not TRPV4). However, strong preclinical support: a 2022 study (PMC9131364) shows macrophage TRPV4 is required for monosodium-urate-crystal-induced inflammation via NLRP3 inflammasome activation, and the selective TRPV4 antagonist GSK219 reduced joint swelling, leukocyte infiltration, MPO, IL-1beta and pain in a mouse gout model, comparable to colchicine."
Ganetespib,gout,preclinical_literature,"No Ganetespib or other HSP90-inhibitor trial/approval exists for gout (clinical HSP90 inhibitors are anticancer only), but the HSP90 target class has preclinical anti-inflammatory/autoimmune disease evidence including Ganetespib itself ameliorating disease in the MRL/lpr lupus mouse model (PMC4431681) and HSP90 inhibitors active in rheumatoid arthritis models (PubMed 19035474); mechanistically HSP90 chaperones the NLRP3 inflammasome/IL-1beta axis that drives monosodium-urate gout inflammation. No gout-specific (MSU-crystal) HSP90-inhibitor study was found — the direct crystal-inflammasome heat-shock link in the literature is HSP60, not HSP90 (PMC7791970) — so the gout connection is mechanistic/class-extrapolative, not a demonstrated gout program."
Idasanutlin,digestive system cancer,direct_trial,"Idasanutlin + atezolizumab was tested in metastatic colorectal cancer (a digestive-system cancer) in the Morpheus-CRC trial NCT03555149, and the idasanutlin Phase I solid-tumor study enrolled 12 colorectal cancer patients."
Idasanutlin,head and neck malignant neoplasia,target_class_trial,"No idasanutlin-specific head/neck trial found, but same-target-class MDM2 inhibitor APG-115 (alrizomadlin) ran a Phase 1/2 trial in p53-wildtype salivary gland (head and neck) cancers with reported monotherapy antitumor activity (notably in adenoid cystic carcinoma)."
Idasanutlin,colorectal cancer,direct_trial,"Idasanutlin was administered (orally Days 1-5, combined with atezolizumab) in metastatic colorectal cancer in Morpheus-CRC NCT03555149; the Phase I solid-tumor study also enrolled 12 (12.1%) colorectal cancer patients."
Idasanutlin,sarcoma,direct_trial,"Sarcoma was the most-enrolled tumor type (23 patients, 23.2%) in the idasanutlin Phase I solid-tumor study (PMC8541972), including liposarcoma, with two sarcoma patients showing prolonged stable disease >600 days and responses reported in liposarcoma."
Idasanutlin,hepatocellular carcinoma,preclinical_literature,"No idasanutlin-specific HCC clinical trial confirmed; preclinical studies show MDM2-p53 antagonists including RG7388/Nutlin-3 exert antitumor effects in wild-type-p53 HCC cells (~75% of HCC is TP53-wildtype), supporting target rationale but not a registered HCC trial of the drug."
Iferanserin,mental or behavioural disorder,target_class_trial,"Iferanserin itself has only ever been trialed for hemorrhoids (NCT01483833 Phase 2; NCT01355874 Phase 3, terminated) as a peripherally-acting intra-anal 5-HT2A antagonist, with no CNS/psychiatric program. However the HTR2A target class has extensive clinical psychiatric precedent: pimavanserin (selective 5-HT2A antagonist/inverse agonist) is approved for Parkinson's disease psychosis and ran Phase 3 in MDD, and 5-HT2A-antagonist atypical antipsychotics (risperidone, quetiapine, brexpiprazole) are widely used across mental/behavioural disorders. Broad ontology roll-up term, but a real target-class clinical footprint exists."
Iferanserin,major depressive disorder,target_class_trial,"No Iferanserin MDD trial exists (drug is hemorrhoid-only, peripherally acting). Same-target precedent is strong: pimavanserin, a 5-HT2A antagonist/inverse agonist, completed a positive Phase 2 (CLARITY) and ran Phase 3 trials (NCT03968159, NCT03999918) as adjunctive treatment for MDD; mirtazapine/trazodone/agomelatine also carry 5-HT2A antagonism with antidepressant use."
Iferanserin,obsessive-compulsive disorder,target_class_trial,"No Iferanserin OCD trial. Target-class precedent: 5-HT2A-antagonist atypical antipsychotics (risperidone, brexpiprazole, aripiprazole) are established evidence-based SSRI-augmentation agents in treatment-resistant OCD (meta-analyses of double-blind RCTs), with 5-HT2A blockade proposed as a contributing mechanism."
